id,score_smog1,score_smog2,score_smartway
19953,1.0,-1.0,NON
19954,1.0,-1.0,NON
19955,1.0,-1.0,NON
19956,2.0,-1.0,NON
19957,1.0,-1.0,NON
19958,1.0,-1.0,NON
19959,1.0,-1.0,NON
19960,1.0,-1.0,NON
19961,2.0,-1.0,NON
19962,2.0,-1.0,NON
19963,1.0,-1.0,NON
19964,1.0,-1.0,NON
19965,1.0,-1.0,NON
19966,1.0,-1.0,NON
19967,1.0,-1.0,NON
19968,1.0,-1.0,NON
19969,1.0,-1.0,NON
19970,1.0,-1.0,NON
19971,1.0,-1.0,NON
19972,1.0,-1.0,NON
19973,1.0,-1.0,NON
19976,2.0,-1.0,NON
19977,2.0,-1.0,NON
19979,1.0,-1.0,NON
19980,1.0,-1.0,NON
19981,1.0,-1.0,NON
19982,-12.0,-1.0,NON
19983,1.0,-1.0,NON
19984,1.0,-1.0,NON
19985,1.0,-1.0,NON
19986,1.0,-1.0,NON
19987,1.0,-1.0,NON
19988,1.0,-1.0,NON
19989,1.0,-1.0,NON
19990,1.0,-1.0,NON
19991,1.0,-1.0,NON
19992,2.0,-1.0,NON
19993,1.0,-1.0,NON
19994,1.0,-1.0,NON
19995,1.0,-1.0,NON
19996,1.0,-1.0,NON
19997,2.0,-1.0,NON
19998,2.0,-1.0,NON
19999,1.0,-1.0,NON
20000,1.0,-1.0,NON
20001,1.0,-1.0,NON
20002,1.0,-1.0,NON
20003,1.0,-1.0,NON
20004,1.0,-1.0,NON
20005,1.0,-1.0,NON
20006,1.0,-1.0,NON
20007,1.0,-1.0,NON
20008,1.0,-1.0,NON
20009,1.0,-1.0,NON
20010,1.0,-1.0,NON
20011,1.0,-1.0,NON
20012,1.0,-1.0,NON
20013,1.0,-1.0,NON
20014,1.0,-1.0,NON
20015,1.0,-1.0,NON
20016,1.0,-1.0,NON
20017,1.0,-1.0,NON
20018,1.0,-1.0,NON
20019,1.0,-1.0,NON
20020,1.0,-1.0,NON
20021,1.0,-1.0,NON
20022,1.0,-1.0,NON
20023,1.0,-1.0,NON
20024,1.0,-1.0,NON
20025,1.0,-1.0,NON
20026,1.0,-1.0,NON
